Score,Value,Smiles 2,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi
0.99863666,10000.0,NC(N1c2ccccc2)=C(C(N2CCCCC2)=O)SC1=S,319.081304164,319.4549999999999,4.0,2.0,2.0,1.0,5.0,21.0,38.0,6.0,1.0,0.3333333333333333,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,132.3623283108295,51.26,3.4765900000000025,88.64690000000003,13.251800745317452,8.26748291247068,5.075051598953593,5.075051598953593,3.9361991077337377,11.618807583462,7.042738041079091,3.697400006434546,3.697400006434546,2.600510867156802,-1.66,14.284541405318803,5.990545411723604,2.73150329262026,4.0748663797242095
0.9978974,2511.9,CN(CN1C(CC2c(c3ccccc3cc3)c3OC)=O)CSC1=C2C#N,365.1197978480001,365.45800000000014,5.0,0.0,2.0,0.0,5.0,26.0,45.0,6.0,1.0,0.3,4.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,156.37164783274693,56.57,3.493080000000002,102.43100000000008,15.545654466706216,9.438797529167717,6.2114394409408105,6.2114394409408105,4.8152036487130125,14.72915788577849,8.453198969514228,4.927830167709199,4.927830167709199,3.7320887772652975,-2.4899999999999998,16.9505644098346,6.6717882846187,2.64308746419991,4.349637578738815
0.99788886,2511.9,COc(cc1)c(C(C2)C(C#N)=C3SCN(Cc4ccccc4)CN3C2=O)cc1Br,469.04595998,470.3920000000001,5.0,0.0,4.0,0.0,5.0,29.0,49.0,7.0,1.0,0.2727272727272727,4.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,182.61462511271705,56.57,4.672780000000004,116.84700000000004,18.371422798395947,11.054029198862793,6.866940287032025,6.866940287032025,5.307961284034632,15.968929678353517,9.275432369651954,5.165704078995477,5.165704078995477,3.792579474007372,-2.27,20.021135863538756,8.618312415529202,4.061161245191508,5.949944958128724
0.9978667,3162.3,CCc(cccc1)c1N(CN1C(CC2c(cccc3)c3F)=O)CSC1=C2C#N,393.13111148,393.48700000000014,4.0,0.0,3.0,0.0,4.0,28.0,48.0,6.0,1.0,0.2727272727272727,4.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,167.79906768049509,47.34,4.607580000000005,108.86700000000005,16.377177968817378,10.269127370673042,6.441861653875802,6.441861653875802,5.014502841805385,15.560681387889652,9.283528811019554,5.287351825517768,5.287351825517768,3.856852371107679,-2.78,18.577160831595027,7.685685246276767,3.161322645043012,5.099221818610734
0.9976937,12589.0,CCOC(c(cc1)ccc1NC(CSc1nnc(-c2ccc[s]2)[n]1C)=O)=O,402.082032436,402.5010000000001,7.0,1.0,7.0,1.0,8.0,27.0,45.0,9.0,1.0,0.2222222222222222,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,164.31205056489128,86.10999999999999,3.451100000000002,106.06820000000003,16.47154084737512,10.077934591240275,5.474663754856451,5.474663754856451,3.747270394220105,14.838547685519668,8.212683220331893,3.588619216711012,3.588619216711012,2.292187212004576,-2.6499999999999995,19.12103939451768,8.82740615935928,4.747256271959805,6.251451145352473
0.9976058,10000.0,CCCCN(C)S(c(cc1)ccc1C(Nc1nnc(CSC)[o]1)=O)(=O)=O,398.108247184,398.5100000000002,8.0,1.0,9.0,1.0,7.0,26.0,48.0,10.0,1.0,0.4375,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,156.96521690674396,105.39999999999998,2.605500000000001,100.63600000000004,16.5619518926432,10.905920037915276,6.013085279280905,6.013085279280905,3.6873708126915856,14.928958730787748,8.072009858997287,3.606366628279651,3.606366628279651,2.1143910905332226,-1.91,20.40249796468068,9.15058012612765,5.054389166451166,7.1805650922679565
0.9974648,25119.0,Cc(cc1)ccc1N(C(N)=C(C(N1CCCCC1)=O)S1)C1=S,333.096954228,333.482,4.0,2.0,2.0,1.0,5.0,22.0,41.0,6.0,1.0,0.375,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,138.7272704252261,51.26,3.7850100000000015,93.38390000000004,14.174450476127827,8.67816651499364,5.35282937673137,5.35282937673137,4.052968470221259,12.541457314272376,7.45342164360205,3.975177784212323,3.975177784212323,2.717280229644324,-1.66,15.243951225024826,6.219781113547346,2.804827391731868,4.309729087511197
0.99741745,1995.3,CCOC(c1c(C)c(C#N)c(NC(CSc2nnc(Cc3ccccc3)[o]2)=O)[s]1)=O,442.0769470559999,442.52200000000016,8.0,1.0,8.0,1.0,9.0,30.0,48.0,10.0,1.0,0.25,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,180.80971183162035,118.11,3.8095000000000026,112.62720000000002,17.93219538064628,10.81170952036556,5.951328352906747,5.951328352906747,4.203580040069919,16.29920221879083,9.009614379784344,3.9455811287904057,3.9455811287904057,2.555959394523775,-3.1599999999999997,21.546514107198167,10.045164029612422,5.253323045267488,7.214608949105455
0.99726945,39811.0,Oc(cc1)ccc1-c([n]1Cc2ccc[o]2)nnc1SCC(c1ccc[s]1)=O,397.05548334,397.4810000000001,6.0,1.0,7.0,1.0,8.0,27.0,42.0,8.0,0.0,0.1052631578947368,4.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0379519308796,81.15,4.328500000000002,104.30630000000002,15.742556959980094,10.015246950744112,5.742423873324364,5.742423873324364,4.135866145227429,14.109563798124642,8.14999557983573,3.864757361344716,3.864757361344716,2.5588976504468395,-2.8399999999999994,17.56768391531339,7.810185251110846,3.961948355616468,5.081735770798439
0.997138,25119.0,COc1cc(OC)c(C(/C=C/c(cc2)cc(O)c2OC)=O)c(O)c1,330.11033829599995,330.3360000000001,6.0,2.0,6.0,2.0,6.0,24.0,42.0,6.0,0.0,0.1666666666666666,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0791722727128,85.22000000000001,3.019700000000001,89.23410000000003,13.568872237182752,7.041873060434071,3.38695318008057,3.38695318008057,2.1686046340030205,13.568872237182752,7.041873060434071,3.38695318008057,3.38695318008057,2.1686046340030205,-3.15,17.207754399928785,7.410932940011402,3.5991808853778866,5.313563079419098
